t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
0,1.0,0.0,1.8563956589394233,-80.0,-150.0,-5.0,-5.0,0.9708196651611226,-150.0,-80.0,7.810249675906654
1,1.0,0.0,1.8563956589394233,-80.0,-116.66666666666666,-5.0,-5.0,0.9708196651611226,-150.0,-40.0,7.810249675906654
2,1.0,0.0,1.8563956589394233,-80.0,-83.33333333333333,-5.0,-5.0,0.9708196651611226,-150.0,0.0,7.810249675906654
3,1.0,0.0,1.8563956589394233,-80.0,-50.0,-5.0,-5.0,0.9708196651611226,-150.0,40.0,7.810249675906654
4,1.0,0.0,1.8563956589394233,-80.0,-16.666666666666657,-5.0,-5.0,0.9708196651611226,-150.0,80.0,7.810249675906654
5,1.0,0.0,1.8563956589394233,-80.0,16.666666666666686,-5.0,-5.0,0.9708196651611226,-75.0,-80.0,7.810249675906654
6,1.0,0.0,1.8563956589394233,-80.0,50.0,-5.0,-5.0,0.9708196651611226,-75.0,-40.0,7.810249675906654
7,1.0,0.0,1.8563956589394233,-80.0,83.33333333333334,-5.0,-5.0,0.9708196651611226,-75.0,0.0,7.810249675906654
8,1.0,0.0,1.8563956589394233,-80.0,116.66666666666669,-5.0,-5.0,0.9708196651611226,-75.0,40.0,7.810249675906654
9,1.0,0.0,1.8563956589394233,-80.0,150.0,-5.0,-5.0,0.9708196651611226,-75.0,80.0,7.810249675906654
10,1.0,0.0,1.8563956589394233,-62.22222222222222,-150.0,-5.0,-5.0,0.9708196651611226,0.0,-80.0,7.810249675906654
11,1.0,0.0,1.8563956589394233,-62.22222222222222,-116.66666666666666,-5.0,-5.0,0.9708196651611226,0.0,-40.0,7.810249675906654
12,1.0,0.0,1.8563956589394233,-62.22222222222222,-83.33333333333333,-5.0,-5.0,0.9708196651611226,0.0,0.0,7.810249675906654
13,1.0,0.0,1.8563956589394233,-62.22222222222222,-50.0,-5.0,-5.0,0.9708196651611226,0.0,40.0,7.810249675906654
14,1.0,0.0,1.8563956589394233,-62.22222222222222,-16.666666666666657,-5.0,-5.0,0.9708196651611226,0.0,80.0,7.810249675906654
15,1.0,0.0,1.8563956589394233,-62.22222222222222,16.666666666666686,-5.0,-5.0,0.9708196651611226,75.0,-80.0,7.810249675906654
16,1.0,0.0,1.8563956589394233,-62.22222222222222,50.0,-5.0,-5.0,0.9708196651611226,75.0,-40.0,7.810249675906654
17,1.0,0.0,1.8563956589394233,-62.22222222222222,83.33333333333334,-5.0,-5.0,0.9708196651611226,75.0,0.0,7.810249675906654
18,1.0,0.0,1.8563956589394233,-62.22222222222222,116.66666666666669,-5.0,-5.0,0.9708196651611226,75.0,40.0,7.810249675906654
19,1.0,0.0,1.8563956589394233,-62.22222222222222,150.0,-5.0,-5.0,0.9708196651611226,75.0,80.0,7.810249675906654
20,1.0,0.0,1.8563956589394233,-44.44444444444444,-150.0,-5.0,-5.0,0.9708196651611226,150.0,-80.0,7.810249675906654
21,1.0,0.0,1.8563956589394233,-44.44444444444444,-116.66666666666666,-5.0,-5.0,0.9708196651611226,150.0,-40.0,7.810249675906654
22,1.0,0.0,1.8563956589394233,-44.44444444444444,-83.33333333333333,-5.0,-5.0,0.9708196651611226,150.0,0.0,7.810249675906654
23,1.0,0.0,1.8563956589394233,-44.44444444444444,-50.0,-5.0,-5.0,0.9708196651611226,150.0,40.0,7.810249675906654
24,1.0,0.0,1.8563956589394233,-44.44444444444444,-16.666666666666657,-5.0,-5.0,0.9708196651611226,150.0,80.0,7.810249675906654
