t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
0,1.0,0.0,1.8563956589394233,-80.0,-150.0,0.0,0.0,6.283185307179586,-80.0,-150.0,1.0
1,1.0,0.0,1.8563956589394233,-80.0,-116.66666666666666,0.0,0.0,6.283185307179586,-80.0,-75.0,1.0
2,1.0,0.0,1.8563956589394233,-80.0,-83.33333333333333,0.0,0.0,6.283185307179586,-80.0,0.0,1.0
3,1.0,0.0,1.8563956589394233,-80.0,-50.0,0.0,0.0,6.283185307179586,-80.0,75.0,1.0
4,1.0,0.0,1.8563956589394233,-80.0,-16.666666666666657,0.0,0.0,6.283185307179586,-80.0,150.0,1.0
5,1.0,0.0,1.8563956589394233,-80.0,16.666666666666686,0.0,0.0,6.283185307179586,-40.0,-150.0,1.0
6,1.0,0.0,1.8563956589394233,-80.0,50.0,0.0,0.0,6.283185307179586,-40.0,-75.0,1.0
7,1.0,0.0,1.8563956589394233,-80.0,83.33333333333334,0.0,0.0,6.283185307179586,-40.0,0.0,1.0
8,1.0,0.0,1.8563956589394233,-80.0,116.66666666666669,0.0,0.0,6.283185307179586,-40.0,75.0,1.0
9,1.0,0.0,1.8563956589394233,-80.0,150.0,0.0,0.0,6.283185307179586,-40.0,150.0,1.0
10,1.0,0.0,1.8563956589394233,-62.22222222222222,-150.0,0.0,0.0,6.283185307179586,0.0,-150.0,1.0
11,1.0,0.0,1.8563956589394233,-62.22222222222222,-116.66666666666666,0.0,0.0,6.283185307179586,0.0,-75.0,1.0
12,1.0,0.0,1.8563956589394233,-62.22222222222222,-83.33333333333333,0.0,0.0,6.283185307179586,0.0,0.0,1.0
13,1.0,0.0,1.8563956589394233,-62.22222222222222,-50.0,0.0,0.0,6.283185307179586,0.0,75.0,1.0
14,1.0,0.0,1.8563956589394233,-62.22222222222222,-16.666666666666657,0.0,0.0,6.283185307179586,0.0,150.0,1.0
15,1.0,0.0,1.8563956589394233,-62.22222222222222,16.666666666666686,0.0,0.0,6.283185307179586,40.0,-150.0,1.0
