t,x1,y1,yaw1,az1,el1,x2,y2,yaw2,az2,el2,dist
0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,13.038404810405298
1.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,13.038404810405298
2.0,0.0,0.0,0.0,-150.0,-80.0,7.0,11.0,0.0,-150.0,-80.0,13.038404810405298
3.0,0.0,0.0,0.0,-150.0,-57.14285714285714,7.0,11.0,0.0,-150.0,-48.0,13.038404810405298
4.0,0.0,0.0,0.0,-150.0,-34.285714285714285,7.0,11.0,0.0,-150.0,-16.0,13.038404810405298
5.0,0.0,0.0,0.0,-150.0,-11.42857142857143,7.0,11.0,0.0,-150.0,16.0,13.038404810405298
6.0,0.0,0.0,0.0,-150.0,11.42857142857143,7.0,11.0,0.0,-150.0,48.0,13.038404810405298
7.0,0.0,0.0,0.0,-150.0,34.28571428571429,7.0,11.0,0.0,-150.0,80.0,13.038404810405298
8.0,0.0,0.0,0.0,-150.0,57.14285714285714,7.0,11.0,0.0,-107.14285714285714,-80.0,13.038404810405298
9.0,0.0,0.0,0.0,-150.0,80.0,7.0,11.0,0.0,-107.14285714285714,-48.0,13.038404810405298
10.0,0.0,0.0,0.0,-90.0,-80.0,7.0,11.0,0.0,-107.14285714285714,-16.0,13.038404810405298
11.0,0.0,0.0,0.0,-90.0,-57.14285714285714,7.0,11.0,0.0,-107.14285714285714,16.0,13.038404810405298
12.0,0.0,0.0,0.0,-90.0,-34.285714285714285,7.0,11.0,0.0,-107.14285714285714,48.0,13.038404810405298
13.0,0.0,0.0,0.0,-90.0,-11.42857142857143,7.0,11.0,0.0,-107.14285714285714,80.0,13.038404810405298
14.0,0.0,0.0,0.0,-90.0,11.42857142857143,7.0,11.0,0.0,-64.28571428571429,-80.0,13.038404810405298
15.0,0.0,0.0,0.0,-90.0,34.28571428571429,7.0,11.0,0.0,-64.28571428571429,-48.0,13.038404810405298
16.0,0.0,0.0,0.0,-90.0,57.14285714285714,7.0,11.0,0.0,-64.28571428571429,-16.0,13.038404810405298
17.0,0.0,0.0,0.0,-90.0,80.0,7.0,11.0,0.0,-64.28571428571429,16.0,13.038404810405298
18.0,0.0,0.0,0.0,-30.0,-80.0,7.0,11.0,0.0,-64.28571428571429,48.0,13.038404810405298
19.0,0.0,0.0,0.0,-30.0,-57.14285714285714,7.0,11.0,0.0,-64.28571428571429,80.0,13.038404810405298
20.0,0.0,0.0,0.0,-30.0,-34.285714285714285,7.0,11.0,0.0,-21.428571428571445,-80.0,13.038404810405298
21.0,0.0,0.0,0.0,-30.0,-11.42857142857143,7.0,11.0,0.0,-21.428571428571445,-48.0,13.038404810405298
22.0,0.0,0.0,0.0,-30.0,11.42857142857143,7.0,11.0,0.0,-21.428571428571445,-16.0,13.038404810405298
23.0,0.0,0.0,0.0,-30.0,34.28571428571429,7.0,11.0,0.0,-21.428571428571445,16.0,13.038404810405298
24.0,0.0,0.0,0.0,-30.0,57.14285714285714,7.0,11.0,0.0,-21.428571428571445,48.0,13.038404810405298
25.0,0.0,0.0,0.0,-30.0,80.0,7.0,11.0,0.0,-21.428571428571445,80.0,13.038404810405298
26.0,0.0,0.0,0.0,30.0,-80.0,7.0,11.0,0.0,21.428571428571416,-80.0,13.038404810405298
27.0,0.0,0.0,0.0,30.0,-57.14285714285714,7.0,11.0,0.0,21.428571428571416,-48.0,13.038404810405298
28.0,0.0,0.0,0.0,30.0,-34.285714285714285,7.0,11.0,0.0,21.428571428571416,-16.0,13.038404810405298
29.0,0.0,0.0,0.0,30.0,-11.42857142857143,7.0,11.0,0.0,21.428571428571416,16.0,13.038404810405298
30.0,0.0,0.0,0.0,30.0,11.42857142857143,7.0,11.0,0.0,21.428571428571416,48.0,13.038404810405298
31.0,0.0,0.0,0.0,30.0,34.28571428571429,7.0,11.0,0.0,21.428571428571416,80.0,13.038404810405298
32.0,0.0,0.0,0.0,30.0,57.14285714285714,7.0,11.0,0.0,64.28571428571428,-80.0,13.038404810405298
33.0,0.0,0.0,0.0,30.0,80.0,7.0,11.0,0.0,64.28571428571428,-48.0,13.038404810405298
34.0,0.0,0.0,0.0,90.0,-80.0,7.0,11.0,0.0,64.28571428571428,-16.0,13.038404810405298
35.0,0.0,0.0,0.0,90.0,-57.14285714285714,7.0,11.0,0.0,64.28571428571428,16.0,13.038404810405298
36.0,0.0,0.0,0.0,90.0,-34.285714285714285,7.0,11.0,0.0,64.28571428571428,48.0,13.038404810405298
37.0,0.0,0.0,0.0,90.0,-11.42857142857143,7.0,11.0,0.0,64.28571428571428,80.0,13.038404810405298
38.0,0.0,0.0,0.0,90.0,11.42857142857143,7.0,11.0,0.0,107.14285714285711,-80.0,13.038404810405298
39.0,0.0,0.0,0.0,90.0,34.28571428571429,7.0,11.0,0.0,107.14285714285711,-48.0,13.038404810405298
40.0,0.0,0.0,0.0,90.0,57.14285714285714,7.0,11.0,0.0,107.14285714285711,-16.0,13.038404810405298
41.0,0.0,0.0,0.0,90.0,80.0,7.0,11.0,0.0,107.14285714285711,16.0,13.038404810405298
42.0,0.0,0.0,0.0,150.0,-80.0,7.0,11.0,0.0,107.14285714285711,48.0,13.038404810405298
43.0,0.0,0.0,0.0,150.0,-57.14285714285714,7.0,11.0,0.0,107.14285714285711,80.0,13.038404810405298
44.0,0.0,0.0,0.0,150.0,-34.285714285714285,7.0,11.0,0.0,150.0,-80.0,13.038404810405298
45.0,0.0,0.0,0.0,150.0,-11.42857142857143,7.0,11.0,0.0,150.0,-48.0,13.038404810405298
46.0,0.0,0.0,0.0,150.0,11.42857142857143,7.0,11.0,0.0,150.0,-16.0,13.038404810405298
47.0,0.0,0.0,0.0,150.0,34.28571428571429,7.0,11.0,0.0,150.0,16.0,13.038404810405298
48.0,0.0,0.0,0.0,150.0,57.14285714285714,7.0,11.0,0.0,150.0,48.0,13.038404810405298
49.0,0.0,0.0,0.0,150.0,80.0,7.0,11.0,0.0,150.0,80.0,13.038404810405298
